serial_no,sensor_id,imu1_pitch,imu1_roll,battery,reading_time
2,LRS,1.03,0.75,34,Sat Jul 25 2020 11:28:34 GMT+0530 (India Standard Time)
3,LRS,2.01,1.53,34,Sat Jul 25 2020 11:28:34 GMT+0530 (India Standard Time)
4,LRS,3,2.27,34,Sat Jul 25 2020 11:28:34 GMT+0530 (India Standard Time)
5,LRS,3.71,3.24,34,Sat Jul 25 2020 11:28:34 GMT+0530 (India Standard Time)
6,LRS,4.56,4.04,34,Sat Jul 25 2020 11:28:34 GMT+0530 (India Standard Time)
7,LRS,5.25,4.98,34,Sat Jul 25 2020 11:28:34 GMT+0530 (India Standard Time)
8,LRS,6.27,5.56,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
9,LRS,7.07,6.28,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
10,LRS,8.07,6.82,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
11,LRS,8.96,7.43,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
12,LRS,9.92,7.94,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
13,LRS,10.74,8.51,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
14,LRS,11.69,8.95,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
15,LRS,12.46,9.48,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
16,LRS,13.44,9.85,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
17,LRS,14.12,10.5,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
18,LRS,14.69,11.06,34,Sat Jul 25 2020 11:28:35 GMT+0530 (India Standard Time)
19,LRS,15.46,11.56,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
20,LRS,16.06,12.07,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
21,LRS,16.3,12.96,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
22,LRS,16.87,13.6,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
23,LRS,17.49,14.03,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
24,LRS,17.79,14.89,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
25,LRS,18.32,15.44,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
26,LRS,18.99,15.81,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
27,LRS,19.42,16.45,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
28,LRS,19.89,16.99,34,Sat Jul 25 2020 11:28:36 GMT+0530 (India Standard Time)
