serial_no,sensor_id,imu3_pitch,imu3_roll,battery,reading_time,speed
1,LMB,0.54,-0.06,34,Sat Jul 25 2020 11:28:34 GMT+0530 (India Standard Time),null
2,LMB,1.08,-0.12,34,Sat Jul 25 2020 11:28:34 GMT+0530 (India Standard Time),null
3,LMB,1.6,-0.18,34,Sat Jul 25 2020 11:28:34 GMT+0530 (India Standard Time),null
4,LMB,2.12,-0.23,34,Sat Jul 25 2020 12:19:47 GMT+0530 (India Standard Time),null
5,LMB,2.62,-0.3,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
6,LMB,3.1,-0.36,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
7,LMB,3.58,-0.42,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
8,LMB,4.05,-0.47,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
9,LMB,4.52,-0.52,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
10,LMB,4.97,-0.57,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
11,LMB,5.42,-0.62,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
12,LMB,5.85,-0.67,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
13,LMB,6.28,-0.72,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
14,LMB,6.71,-0.77,34,Sat Jul 25 2020 12:19:48 GMT+0530 (India Standard Time),null
15,LMB,7.12,-0.81,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
16,LMB,7.52,-0.85,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
17,LMB,7.93,-0.89,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
18,LMB,8.32,-0.93,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
19,LMB,8.7,-0.98,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
20,LMB,9.07,-1.02,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
21,LMB,9.43,-1.06,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
22,LMB,9.79,-1.1,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
23,LMB,10.14,-1.14,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
24,LMB,10.48,-1.18,34,Sat Jul 25 2020 12:19:49 GMT+0530 (India Standard Time),null
25,LMB,10.81,-1.21,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
26,LMB,11.14,-1.24,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
27,LMB,11.45,-1.28,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
28,LMB,11.77,-1.31,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
29,LMB,12.07,-1.34,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
30,LMB,12.38,-1.36,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
31,LMB,12.67,-1.4,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
32,LMB,12.96,-1.42,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
33,LMB,13.24,-1.46,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
34,LMB,13.51,-1.49,34,Sat Jul 25 2020 12:19:50 GMT+0530 (India Standard Time),null
35,LMB,13.79,-1.52,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
36,LMB,14.06,-1.55,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
37,LMB,14.32,-1.59,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
38,LMB,14.58,-1.62,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
39,LMB,14.83,-1.64,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
40,LMB,15.08,-1.67,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
41,LMB,15.32,-1.7,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
42,LMB,15.56,-1.73,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
43,LMB,15.8,-1.76,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
44,LMB,16.03,-1.78,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
45,LMB,16.26,-1.81,34,Sat Jul 25 2020 12:19:51 GMT+0530 (India Standard Time),null
46,LMB,16.47,-1.84,34,Sat Jul 25 2020 12:19:52 GMT+0530 (India Standard Time),null
47,LMB,16.68,-1.87,34,Sat Jul 25 2020 12:19:52 GMT+0530 (India Standard Time),null
48,LMB,16.89,-1.89,34,Sat Jul 25 2020 12:19:52 GMT+0530 (India Standard Time),null
49,LMB,17.08,-1.9,34,Sat Jul 25 2020 12:19:52 GMT+0530 (India Standard Time),null
